Systemvariable;Workingday;Result;false;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Parameter;Cycle;RulesEngineArgument;Freizeit;7a2e8b57-84fe-d775-0000-00006562689d;end-of-day;1700948125569;Success;
Systemvariable;DailyEvents;Result;"T0:7.0;T1:8.08;T6:17.15";7a2e8b57-84fe-d775-0000-00006562689d;;;;
Parameter;Date;RulesEngineArgument;26.11.2023;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Systemvariable;LastBatchrun;Result;25.11.2023-22:35:27;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Parameter;MaxForecastTemperature;RulesEngineArgument;6.46;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Parameter;MaxSunDownTime;Configuration;22:15;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Parameter;MaxSunUpTime;Configuration;10:00;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Parameter;MinSunDownTime;Configuration;17:15;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Parameter;MinSunUpTime;Configuration;05:30;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Systemvariable;Month;Result;10;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Parameter;ShadowTemperature;Configuration;25.0;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Parameter;ShadowTime;Configuration;09:00;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Parameter;SunDownTime;RulesEngineArgument;16:37;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Parameter;SunUpDownType;Configuration;Mathematical;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Parameter;SunUpTime;RulesEngineArgument;08:08;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Systemvariable;Temperature;Result;6.460000;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Systemvariable;Time;Result;0;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Systemvariable;TimerEvents;Result;0;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Parameter;UpTime;Configuration;07:00;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Parameter;UpdateTime;RulesEngineArgument;<Empty>;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Systemvariable;Workingday;Result;false;7a2e8b57-84fe-d775-0000-00006562689d;;;;
Parameter;Cycle;RulesEngineArgument;Arbeitstage;7a2e8b57-84fe-d775-0000-00006563ba1d;end-of-day;1701034525331;Success;
Systemvariable;DailyEvents;Result;"T0:5.15;T1:8.09;T6:17.15";7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Parameter;Date;RulesEngineArgument;27.11.2023;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Systemvariable;LastBatchrun;Result;26.11.2023-22:35:27;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Parameter;MaxForecastTemperature;RulesEngineArgument;6.45;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Parameter;MaxSunDownTime;Configuration;22:15;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Parameter;MaxSunUpTime;Configuration;10:00;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Parameter;MinSunDownTime;Configuration;17:15;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Parameter;MinSunUpTime;Configuration;05:30;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Systemvariable;Month;Result;10;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Parameter;ShadowTemperature;Configuration;25.0;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Parameter;ShadowTime;Configuration;09:00;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
